chromosome	start	end	score
chr2	165195040	165195065	2.84
chr2	165195065	165195090	1.52
chr2	165195090	165195140	1
chr2	165195140	165195165	0.68
chr2	165195165	165195190	1
chr2	165195190	165195215	1.36
chr2	165195215	165195240	3.76
chr2	165195240	165195340	4
chr2	165195340	165195390	3
chr2	165195390	165195415	1.08
chr2	165195690	165195765	1
chr2	165195765	165195790	1.28
chr2	165195790	165195815	2
chr2	165195815	165195840	3.2
chr2	165195840	165195865	4
chr2	165195865	165195890	3.4
chr2	165195890	165195915	3
chr2	165195915	165195940	3.68
chr2	165195940	165195965	4
chr2	165195965	165195990	3.12
chr2	165195990	165196015	2.6
chr2	165196015	165196040	1.28
chr2	165196040	165196065	2.8
chr2	165196065	165196090	4.6
chr2	165196090	165196115	4.72
chr2	165196115	165196140	4.96
chr2	165196140	165196215	5
chr2	165196215	165196240	3.72
chr2	165196240	165196265	2.2
chr2	165196265	165196290	1
chr2	165196290	165196315	1.32
chr2	165196315	165196465	1
chr2	165196465	165196490	0.64
chr2	165196490	165196665	1
chr2	165196665	165196690	0.28
chr2	165196765	165196790	0.8
chr2	165196790	165196815	1
chr2	165196815	165196840	1.36
chr2	165196840	165196915	3
chr2	165196915	165196940	3.2
chr2	165196940	165196965	5.12
chr2	165196965	165196990	5.08
chr2	165196990	165197015	6
chr2	165197015	165197040	4.44
chr2	165197040	165197090	4
chr2	165197090	165197115	4.56
chr2	165197115	165197140	4.44
chr2	165197140	165197165	3
chr2	165197165	165197190	2.44
chr2	165197190	165197215	5.6
chr2	165197215	165197265	7
chr2	165197265	165197315	9.44
chr2	165197315	165197340	10.28
chr2	165197340	165197365	12.56
chr2	165197365	165197390	11.32
chr2	165197390	165197415	9.56
chr2	165197415	165197440	10
chr2	165197440	165197465	9.28
chr2	165197465	165197490	7
chr2	165197490	165197515	6.76
chr2	165197515	165197540	5.76
chr2	165197540	165197565	5
chr2	165197565	165197590	4.12
chr2	165197590	165197615	3.76
chr2	165197615	165197640	4.68
chr2	165197640	165197665	4.32
chr2	165197665	165197690	5
chr2	165197690	165197715	4.04
chr2	165197715	165197765	3
chr2	165197765	165197790	2.72
chr2	165197790	165197815	2.56
chr2	165197815	165197840	2
chr2	165197840	165197865	1.6
chr2	165197865	165197965	2
chr2	165197965	165197990	1.56
chr2	165197990	165198040	1
chr2	165198265	165198290	0.2
chr2	165198290	165198315	1
chr2	165198315	165198340	1.28
chr2	165198340	165198390	2
chr2	165198390	165198415	2.6
chr2	165198415	165198465	3
chr2	165198465	165198490	2.2
chr2	165198490	165198515	2
chr2	165198515	165198540	1.12
chr2	165198540	165198565	1.84
chr2	165198565	165198590	2.8
chr2	165198590	165198690	2
chr2	165198690	165198715	2.64
chr2	165198715	165198740	2.76
chr2	165198740	165198765	1.2
chr2	165198765	165198865	1
chr2	165198865	165198890	0.76
chr2	165199240	165199265	0.24
chr2	165199265	165199340	1
chr2	165199340	165199365	1.96
chr2	165199365	165199440	2
chr2	165199440	165199465	1.16
chr2	165199465	165199515	1
chr2	165199515	165199540	0.44
chr2	165200115	165200140	0.52
chr2	165200140	165200165	1
chr2	165200165	165200290	2
chr2	165200290	165200315	2.8
chr2	165200315	165200340	2.24
chr2	165200340	165200365	2.4
chr2	165200365	165200465	2
chr2	165200465	165200490	1.48
chr2	165200490	165200515	1
chr2	165200515	165200540	0.16
chr2	165200565	165200590	0.04
chr2	165200590	165200765	1
chr2	165200765	165200790	0.36
chr2	165200840	165200865	0.4
chr2	165200865	165200940	2
chr2	165200940	165200965	3.64
chr2	165200965	165201040	4
chr2	165201040	165201065	2.4
chr2	165201065	165201115	2
chr2	165201115	165201140	1.16
chr2	165201190	165201215	1.6
chr2	165201215	165201240	2
chr2	165201240	165201265	2.32
chr2	165201265	165201315	3
chr2	165201315	165201340	3.52
chr2	165201340	165201365	4
chr2	165201365	165201390	4.16
chr2	165201390	165201440	3
chr2	165201440	165201465	2.96
chr2	165201465	165201490	5
chr2	165201490	165201515	5.68
chr2	165201515	165201540	5
chr2	165201540	165201565	4.44
chr2	165201565	165201590	4
chr2	165201590	165201615	4.96
chr2	165201615	165201640	5
