chromosome	start	end	score
chr2	165194993	165194994	0.140964
chr2	165194994	165194997	0.139227
chr2	165194997	165194998	0.141204
chr2	165194998	165194999	0.145396
chr2	165194999	165195002	0.144079
chr2	165195002	165195003	0.145276
chr2	165195003	165195004	0.144079
chr2	165195004	165195006	0.14318
chr2	165195006	165195007	0.143899
chr2	165195007	165195009	0.147132
chr2	165195009	165195010	0.135396
chr2	165195010	165195011	0.140665
chr2	165195011	165195016	0.140246
chr2	165195016	165195017	0.130544
chr2	165195017	165195021	0.122699
chr2	165195021	165195022	0.125753
chr2	165195022	165195024	0.13186
chr2	165195024	165195025	0.133777
chr2	165195025	165195026	0.133956
chr2	165195026	165195027	0.129644
chr2	165195027	165195028	0.128746
chr2	165195028	165195029	0.128027
chr2	165195029	165195030	0.125393
chr2	165195030	165195031	0.128028
chr2	165195031	165195033	0.12701
chr2	165195033	165195034	0.129225
chr2	165195034	165195035	0.140783
chr2	165195035	165195038	0.143656
chr2	165195038	165195042	0.143776
chr2	165195042	165195045	0.152158
chr2	165195045	165195047	0.155152
chr2	165195047	165195049	0.153475
chr2	165195049	165195050	0.15587
chr2	165195050	165195051	0.157847
chr2	165195051	165195054	0.159823
chr2	165195054	165195057	0.151619
chr2	165195057	165195058	0.14635
chr2	165195058	165195062	0.148266
chr2	165195062	165195063	0.15659
chr2	165195063	165195064	0.158506
chr2	165195064	165195065	0.16174
chr2	165195065	165195066	0.163237
chr2	165195066	165195067	0.165452
chr2	165195067	165195068	0.168027
chr2	165195068	165195069	0.174734
chr2	165195069	165195070	0.180004
chr2	165195070	165195072	0.183776
chr2	165195072	165195077	0.180723
chr2	165195077	165195078	0.182339
chr2	165195078	165195079	0.184315
chr2	165195079	165195080	0.179285
chr2	165195080	165195081	0.180782
chr2	165195081	165195082	0.167008
chr2	165195082	165195083	0.165511
chr2	165195083	165195084	0.0609
chr2	165195084	165195085	0.054791
chr2	165195085	165195089	0.05012
chr2	165195089	165195090	0.046647
chr2	165195090	165195091	0.042815
chr2	165195091	165195093	0.039941
chr2	165195093	165195107	0.036707
chr2	165195107	165195108	0.03509
chr2	165195108	165195116	0.037126
chr2	165195116	165195122	0.039461
chr2	165195122	165195124	0.037186
chr2	165195124	165195125	0.045989
chr2	165195125	165195126	0.043774
chr2	165195126	165195128	0.048026
chr2	165195128	165195129	0.054732
chr2	165195129	165195130	0.052636
chr2	165195130	165195132	0.055211
chr2	165195132	165195134	0.059522
chr2	165195134	165195135	0.054432
chr2	165195135	165195136	0.051499
chr2	165195136	165195139	0.052876
chr2	165195139	165195143	0.054373
chr2	165195143	165195145	0.056169
chr2	165195145	165195147	0.058923
chr2	165195147	165195149	0.058205
chr2	165195149	165195150	0.05587
chr2	165195150	165195151	0.05575
chr2	165195151	165195153	0.059882
chr2	165195153	165195156	0.061738
chr2	165195156	165195158	0.062876
chr2	165195158	165195160	0.06066
chr2	165195160	165195161	0.06545
chr2	165195161	165195162	0.067546
chr2	165195162	165195163	0.062216
chr2	165195163	165195166	0.066288
chr2	165195166	165195167	0.065809
chr2	165195167	165195169	0.068444
chr2	165195169	165195174	0.066407
chr2	165195174	165195176	0.073114
chr2	165195176	165195178	0.074851
chr2	165195178	165195182	0.072874
chr2	165195182	165195183	0.077425
chr2	165195183	165195185	0.07988
chr2	165195185	165195194	0.081018
chr2	165195194	165195198	0.079041
chr2	165195198	165195199	0.07976
chr2	165195199	165195205	0.055448
chr2	165195205	165195208	0.060119
chr2	165195208	165195209	0.055867
chr2	165195209	165195211	0.056466
chr2	165195211	165195216	0.055089
chr2	165195216	165195224	0.052694
chr2	165195224	165195225	0.043412
chr2	165195225	165195228	0.046466
chr2	165195228	165195229	0.0397
chr2	165195229	165195232	0.04419
chr2	165195232	165195236	0.042095
chr2	165195236	165195238	0.044071
chr2	165195238	165195239	0.045867
chr2	165195239	165195245	0.04437
chr2	165195245	165195250	0.041616
chr2	165195250	165195253	0.040359
chr2	165195253	165195254	0.038562
chr2	165195254	165195260	0.043233
chr2	165195260	165195263	0.045329
chr2	165195263	165195265	0.047724
chr2	165195265	165195266	0.04988
chr2	165195266	165195269	0.052215
chr2	165195269	165195273	0.054431
chr2	165195273	165195276	0.047723
chr2	165195276	165195280	0.052573
chr2	165195280	165195282	0.058201
chr2	165195282	165195283	0.05365
chr2	165195283	165195285	0.051195
chr2	165195285	165195289	0.050058
chr2	165195289	165195298	0.052094
chr2	165195298	165195305	0.051435
chr2	165195305	165195309	0.046765
chr2	165195309	165195315	0.044549
chr2	165195315	165195322	0.045986
chr2	165195322	165195325	0.047963
chr2	165195325	165195329	0.046046
chr2	165195329	165195334	0.041556
chr2	165195334	165195336	0.043831
chr2	165195336	165195338	0.041855
chr2	165195338	165195345	0.039999
chr2	165195345	165195350	0.042095
chr2	165195350	165195353	0.041376
chr2	165195353	165195356	0.036706
chr2	165195356	165195360	0.03455
chr2	165195360	165195363	0.032453
chr2	165195363	165195366	0.026046
chr2	165195366	165195369	0.023652
chr2	165195369	165195373	0.021436
chr2	165195373	165195376	0.022993
chr2	165195376	165195380	0.018143
chr2	165195380	165195387	0.012515
chr2	165195387	165195389	0.017725
chr2	165195389	165195398	0.015689
chr2	165195398	165195401	0.018622
chr2	165195401	165195403	0.020838
chr2	165195403	165195412	0.022215
chr2	165195412	165195414	0.023712
chr2	165195414	165195415	0.025928
chr2	165195415	165195420	0.024551
chr2	165195420	165195422	0.027245
chr2	165195422	165195425	0.025269
chr2	165195425	165195434	0.024131
chr2	165195434	165195445	0.021856
chr2	165195445	165195455	0.01976
chr2	165195455	165195473	0.022035
chr2	165195473	165195483	0.020538
chr2	165195483	165195487	0.023772
chr2	165195487	165195497	0.018562
chr2	165195497	165195501	0.015628
chr2	165195501	165195502	0.013413
chr2	165195502	165195503	0.015269
chr2	165195503	165195512	0.013832
chr2	165195512	165195513	0.012275
chr2	165195513	165195520	0.010059
chr2	165195520	165195528	0.007365
chr2	165195528	165195529	0.009461
chr2	165195529	165195555	0.012216
chr2	165195555	165195562	0.009941
chr2	165195562	165195579	0.012456
chr2	165195579	165195583	0.009941
chr2	165195583	165195584	0.006707
chr2	165195584	165195601	0.009281
chr2	165195601	165195609	0.007425
chr2	165195609	165195621	0.00994
chr2	165195621	165195628	0.012994
chr2	165195628	165195629	0.010898
chr2	165195629	165195634	0.010837
chr2	165195634	165195647	0.01976
chr2	165195647	165195649	0.021676
chr2	165195649	165195672	0.023772
chr2	165195672	165195678	0.025628
chr2	165195678	165195684	0.027605
chr2	165195684	165195687	0.02509
chr2	165195687	165195695	0.027845
chr2	165195695	165195706	0.03012
chr2	165195706	165195709	0.032754
chr2	165195709	165195712	0.03018
chr2	165195712	165195721	0.033414
chr2	165195721	165195729	0.030359
chr2	165195729	165195734	0.027725
chr2	165195734	165195745	0.018803
chr2	165195745	165195747	0.016707
chr2	165195747	165195748	0.01473
chr2	165195748	165195752	0.018562
chr2	165195752	165195772	0.027485
chr2	165195772	165195777	0.025629
chr2	165195777	165195778	0.027246
chr2	165195778	165195787	0.025329
chr2	165195787	165195795	0.022574
chr2	165195795	165195806	0.020299
chr2	165195806	165195812	0.017605
chr2	165195812	165195828	0.014371
chr2	165195828	165195846	0.017485
chr2	165195846	165195848	0.019581
chr2	165195848	165195852	0.015749
chr2	165195852	165195853	0.006827
chr2	165195853	165195856	0.009581
chr2	165195856	165195868	0.011258
chr2	165195868	165195873	0.01509
chr2	165195873	165195875	0.022936
chr2	165195875	165195877	0.02605
chr2	165195877	165195883	0.024373
chr2	165195883	165195897	0.027306
chr2	165195897	165195912	0.035152
chr2	165195912	165195928	0.038085
chr2	165195928	165195946	0.034972
chr2	165195946	165195950	0.032876
chr2	165195950	165195956	0.030121
chr2	165195956	165195960	0.028504
chr2	165195960	165195968	0.029761
chr2	165195968	165195973	0.025929
chr2	165195973	165195975	0.018084
chr2	165195975	165195983	0.01497
chr2	165195983	165195996	0.012036
chr2	165195996	165195997	0.01497
chr2	165195997	165196000	0.007124
chr2	165196000	165196012	0.008322
chr2	165196012	165196015	0.005388
chr2	165196015	165196018	0.007484
chr2	165196018	165196039	0.010418
chr2	165196039	165196045	0.014609
chr2	165196045	165196050	0.016885
chr2	165196050	165196059	0.018921
chr2	165196059	165196060	0.021196
chr2	165196060	165196076	0.019999
chr2	165196076	165196089	0.021855
chr2	165196089	165196096	0.02413
chr2	165196096	165196097	0.022993
chr2	165196097	165196100	0.02443
chr2	165196100	165196110	0.023173
chr2	165196110	165196115	0.024969
chr2	165196115	165196118	0.022873
chr2	165196118	165196139	0.01994
chr2	165196139	165196143	0.015748
chr2	165196143	165196145	0.013473
chr2	165196145	165196149	0.015388
chr2	165196149	165196150	0.017185
chr2	165196150	165196156	0.015149
chr2	165196156	165196159	0.016586
chr2	165196159	165196170	0.014311
chr2	165196170	165196176	0.016347
chr2	165196176	165196189	0.016587
chr2	165196189	165196191	0.014311
chr2	165196191	165196192	0.012275
chr2	165196192	165196196	0.014311
chr2	165196196	165196197	0.012515
chr2	165196197	165196210	0.013653
chr2	165196210	165196214	0.011797
chr2	165196214	165196244	0.01515
chr2	165196244	165196248	0.013234
chr2	165196248	165196256	0.011438
chr2	165196256	165196270	0.010001
chr2	165196270	165196277	0.007964
chr2	165196277	165196296	0.005929
chr2	165196296	165196297	0.004491
chr2	165196297	165196314	0.003353
chr2	165196332	165196334	0.003054
chr2	165196334	165196337	0.004192
chr2	165196337	165196346	0.005629
chr2	165196346	165196392	0.007666
chr2	165196392	165196416	0.011019
chr2	165196416	165196432	0.012217
chr2	165196432	165196434	0.009163
chr2	165196434	165196437	0.007965
chr2	165196437	165196446	0.006528
chr2	165196446	165196469	0.004491
chr2	165196469	165196492	0.005869
chr2	165196492	165196503	0.002515
chr2	165196503	165196516	0.005569
chr2	165196516	165196521	0.004431
chr2	165196521	165196523	0.005809
chr2	165196523	165196542	0.011377
chr2	165196542	165196569	0.012814
chr2	165196569	165196600	0.011437
chr2	165196600	165196603	0.012934
chr2	165196603	165196620	0.00988
chr2	165196620	165196623	0.008503
