Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID	Exon stable ID	Transcript stable ID	Gene name	Transcript type
2	165194993	165392310	1	ENSG00000136531	ENSE00003807524	ENST00000640791	SCN2A	processed_transcript
2	165194993	165392310	1	ENSG00000136531	ENSE00003807466	ENST00000640791	SCN2A	processed_transcript
2	165194993	165392310	1	ENSG00000136531	ENSE00003804306	ENST00000640791	SCN2A	processed_transcript
2	165194993	165392310	1	ENSG00000136531	ENSE00003632501	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003577130	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003796350	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003794202	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003667200	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003476134	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003624540	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003469366	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003646557	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003637082	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003797234	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003793096	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003520813	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003692338	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003798346	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003797951	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003515214	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003673050	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003618158	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003607689	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003791784	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003480100	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003578392	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003792598	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003768497	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003534381	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003583124	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003650170	ENST00000636384	SCN2A	nonsense_mediated_decay
2	165194993	165392310	1	ENSG00000136531	ENSE00003622830	ENST00000636384	SCN2A	nonsense_mediated_decay
